donnees	branche	disponibilite	granularite	temporalite	origine	lien
Agents morts dans l'exercice de leurs fonctions	Police nationale	statistiques seulement	nationale	annuelle	SVOPN / ONDRP (pdf)	https://inhesj.fr/ondrp/publications/la-note-de-londrp/les-policiers-et-gendarmes-tues-et-blesses-en-2017
Agents morts dans l'exercice de leurs fonctions	Gendarmerie nationale	statistiques seulement	nationale	annuelle	SDAO-DOE / ONDRP (pdf)	https://inhesj.fr/ondrp/publications/la-note-de-londrp/les-policiers-et-gendarmes-tues-et-blesses-en-2017
Personnes blessées et mortes lors d'interventions	Police nationale	statistiques seulement	nationale		RBT / IGPN (à l'oral)	https://www.interieur.gouv.fr/content/download/111781/892957/file/rapport-igpn-2017.pdf
Personnes blessées et mortes lors d'interventions	Gendarmerie nationale	aucune information				
Utilisation des armes	Police nationale	statistiques seulement	nationale	annuelle	TSUA / IGPN (à l'oral)	https://www.interieur.gouv.fr/content/download/111781/892957/file/rapport-igpn-2017.pdf
Utilisation des armes	Gendarmerie nationale	non communiquée			EVENGRAVE	
Utilisation des armes	Polices municipales	aucune information				
Crimes et délits enregistrés (départemental)	Police nationale	base accessible	départementale	mensuelle	Etat 4001 (Excel)	https://www.data.gouv.fr/fr/datasets/chiffres-departementaux-mensuels-relatifs-aux-crimes-et-delits-enregistres-par-les-services-de-police-et-de-gendarmerie-depuis-janvier-1996/
Crimes et délits enregistrés (départemental)	Gendarmerie nationale	base accessible	départementale	mensuelle	Etat 4001 (Excel)	https://www.data.gouv.fr/fr/datasets/chiffres-departementaux-mensuels-relatifs-aux-crimes-et-delits-enregistres-par-les-services-de-police-et-de-gendarmerie-depuis-janvier-1996/
Crimes et délits enregistrés (départemental)	Préfecture de police	base accessible	départementale	mensuelle	Etat 4001 (Excel)	https://www.data.gouv.fr/fr/datasets/chiffres-departementaux-mensuels-relatifs-aux-crimes-et-delits-enregistres-par-les-services-de-police-et-de-gendarmerie-depuis-janvier-1996/
Crimes et délits enregistrés (local)	Police nationale	base accessible	locale	annuelle	Etat 4001 (Excel)	https://www.data.gouv.fr/fr/datasets/crimes-et-delits-enregistres-par-les-services-de-gendarmerie-et-de-police-depuis-2012/
Crimes et délits enregistrés (local)	Gendarmerie nationale	base accessible	locale	annuelle	Etat 4001 (Excel)	https://www.data.gouv.fr/fr/datasets/crimes-et-delits-enregistres-par-les-services-de-gendarmerie-et-de-police-depuis-2012/
Crimes et délits enregistrés (local)	Préfecture de police	base accessible	locale	annuelle	Etat 4001 (Excel)	https://www.data.gouv.fr/fr/datasets/crimes-et-delits-enregistres-par-les-services-de-gendarmerie-et-de-police-depuis-2012/
Plaintes contre les agents	Police nationale	statistiques seulement	nationale	annuelle	IGPN (pdf)	https://www.interieur.gouv.fr/content/download/111781/892957/file/rapport-igpn-2017.pdf
Plaintes contre les agents	Gendarmerie nationale	aucune information				
Sanctions contre les agents	Police nationale	statistiques seulement	nationale	annuelle	IGPN (pdf)	https://www.interieur.gouv.fr/content/download/111781/892957/file/rapport-igpn-2017.pdf
Sanctions contre les agents	Gendarmerie nationale	aucune information				
Violences contre les agents	Police nationale	statistiques seulement	nationale	annuelle	SGAMI / ONDRP (pdf)	https://inhesj.fr/ondrp/publications/la-note-de-londrp/les-policiers-et-gendarmes-tues-et-blesses-en-2017
Violences contre les agents	Gendarmerie nationale	statistiques seulement	nationale	annuelle	SDAO-DOE / ONDRP (pdf)	https://inhesj.fr/ondrp/publications/la-note-de-londrp/les-policiers-et-gendarmes-tues-et-blesses-en-2017
Violences contre les agents	Polices municipales	aucune information				http://www.senat.fr/basile/visio.do?id=qSEQ180303487
Outrages contre les agents	Police nationale	statistiques seulement	nationale	annuelle	Ministère de la justice (ods)	http://www.justice.gouv.fr/statistiques-10054/donnees-statistiques-10302/les-condamnations-27130.html
Outrages contre les agents	Gendarmerie nationale	statistiques seulement	nationale	annuelle	Ministère de la justice (ods)	http://www.justice.gouv.fr/statistiques-10054/donnees-statistiques-10302/les-condamnations-27130.html
Outrages contre les agents	Polices municipales	statistiques seulement	nationale	annuelle	Ministère de la justice (ods)	http://www.justice.gouv.fr/statistiques-10054/donnees-statistiques-10302/les-condamnations-27130.html
Localisation des caméras de vidéo-surveillance	Ministère de l'intérieur	statistiques seulement	locale			http://questions.assemblee-nationale.fr/q14/14-19799QE.htm
Détails sur les contrôles d'identité (nombre, effectivité)	Gendarmerie nationale	aucune information				
Détails sur les contrôles d'identité (nombre, effectivité)	Police nationale	aucune information				
Temps d'intervention et réponse aux appels d'urgence	Gendarmerie nationale	aucune information				
Temps d'intervention et réponse aux appels d'urgence	Police nationale	aucune information				
Temps d'intervention et réponse aux appels d'urgence	Préfecture de police	aucune information				
Méta-données des vidéos des caméras-piétons (date, lieu, etc. des enregistrements)	Gendarmerie nationale	aucune information				
Méta-données des vidéos des caméras-piétons (date, lieu, etc. des enregistrements)	Police nationale	aucune information				
Méta-données des vidéos des caméras-piétons (date, lieu, etc. des enregistrements)	Polices municipales	aucune information				
